"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est","xi_hat"
"bivt",1e-04,50000,180,0.320570678937734,-0.0804896628685938,-0.246627393307049,-0.0992641399322647,0.276071914994027
"bivt",1e-04,50000,180,0.352627746831507,-0.0871835418869402,-0.370642497553297,-0.149178516825053,0.276071914994027
"bivt",1e-04,50000,180,0.384684814725281,-0.0970439535044481,-0.468876133305329,-0.188716206595,0.276071914994027
"bivt",1e-04,50000,180,0.416741882619054,-0.105940726315138,-0.467688738390723,-0.188238296443261,0.276071914994027
"bivt",1e-04,50000,180,0.448798950512828,-0.117463466477515,-0.818920604125451,-0.329604300444107,0.276071914994027
"bivt",1e-04,50000,180,0.480856018406601,-0.128299869630728,-0.523814207481007,-0.210828027222298,0.276071914994027
"bivt",1e-04,50000,180,0.512913086300374,-0.140110207498049,-0.673104271977911,-0.270915228623595,0.276071914994027
"bivt",1e-04,50000,180,0.544970154194148,-0.152064674325059,-0.386005566267602,-0.155361941067579,0.276071914994027
"bivt",1e-04,50000,180,0.577027222087921,-0.16524733431728,-0.237091547982422,-0.0954260931038746,0.276071914994027
"bivt",1e-04,50000,180,0.609084289981695,-0.174312300241885,0.16885759073645,0.0679628620759907,0.276071914994027
"bivt",1e-04,50000,180,0.641141357875468,-0.182380728776582,0.583253415078111,0.234751492257004,0.276071914994027
"bivt",1e-04,50000,180,0.673198425769241,-0.187597697413997,0.612404080384161,0.246484234841912,0.276071914994027
"bivt",1e-04,50000,180,0.705255493663015,-0.194812562602561,1.02348169436441,0.411937330907177,0.276071914994027
"bivt",1e-04,50000,180,0.737312561556788,-0.201602670039675,1.2529066360093,0.504277720212741,0.276071914994027
"bivt",1e-04,50000,180,0.769369629450562,-0.199683912847002,0.966611632452769,0.389047911739835,0.276071914994027
"bivt",1e-04,50000,180,0.801426697344335,-0.200429560671273,0.903174770549798,0.36351544572962,0.276071914994027
"bivt",1e-04,50000,180,0.833483765238108,-0.199252869075805,1.16929703404981,0.470626003275301,0.276071914994027
"bivt",1e-04,50000,180,0.865540833131882,-0.195041408819444,1.14190391122599,0.459600647410717,0.276071914994027
"bivt",1e-04,50000,180,0.897597901025655,-0.190777864010759,0.898109663815073,0.361476809806231,0.276071914994027
"bivt",1e-04,50000,180,0.929654968919429,-0.185427935100618,0.669692207795434,0.269541919633358,0.276071914994027
"bivt",1e-04,50000,180,0.961712036813202,-0.175296855183335,-0.115262311807207,-0.0463914981005473,0.276071914994027
"bivt",1e-04,50000,180,0.993769104706975,-0.162994357023637,0.161652583180076,0.065062945449947,0.276071914994027
"bivt",1e-04,50000,180,1.02582617260075,-0.151307411095148,-0.0925571077892191,-0.0372529651962719,0.276071914994027
"bivt",1e-04,50000,180,1.05788324049452,-0.139213055104936,-0.116528852269873,-0.0469012632488148,0.276071914994027
"bivt",1e-04,50000,180,1.0899403083883,-0.127729454367026,-0.0470901400119632,-0.0189531348683474,0.276071914994027
"bivt",1e-04,50000,180,1.12199737628207,-0.114506661071868,-0.0118995774199049,-0.00478941654576737,0.276071914994027
"bivt",1e-04,50000,180,1.15405444417584,-0.104995919477657,0.114881159564458,0.0462380895555663,0.276071914994027
"bivt",1e-04,50000,180,1.18611151206962,-0.0939254888542997,0.0994270252546423,0.0400180126610596,0.276071914994027
"bivt",1e-04,50000,180,1.21816857996339,-0.0853436980153237,-0.0857480455391551,-0.0345124111202031,0.276071914994027
"bivt",1e-04,50000,180,1.25022564785716,-0.0772584336611644,-0.108913096231218,-0.0438360259976962,0.276071914994027
"bivt",1e-04,50000,180,1.28228271575094,-0.0705402160102544,-0.183296375273825,-0.0737742746265235,0.276071914994027
"bivt",1e-04,50000,180,1.31433978364471,-0.0628905965951461,-0.0832241157280342,-0.0334965640215055,0.276071914994027
"bivt",1e-04,50000,180,1.34639685153848,-0.0574886254751945,-0.0117470630363225,-0.00472803160019986,0.276071914994027
"bivt",1e-04,50000,180,1.37845391943226,-0.0520000437410175,0.0340798056258667,0.0137166538929385,0.276071914994027
"bivt",1e-04,50000,180,1.41051098732603,-0.0455733199562385,0.0628668815499018,0.0253030567431951,0.276071914994027
"bivt",1e-04,50000,180,1.4425680552198,-0.0417743934018731,0.175074257496965,0.0704649851003367,0.276071914994027
"bivt",1e-04,50000,180,1.47462512311358,-0.0372148028466039,0.183837122737703,0.0739919180569739,0.276071914994027
"bivt",1e-04,50000,180,1.50668219100735,-0.0332141957080001,0.291918727665037,0.117493280220152,0.276071914994027
"bivt",1e-04,50000,180,1.53873925890112,-0.0304243058729412,0.116589375495855,0.0469256230163673,0.276071914994027
"bivt",1e-04,50000,180,1.5707963267949,-0.0279004914320762,0.168488452175864,0.0678142888731479,0.276071914994027
"bivt",1e-04,50000,181,0,-0.031221823310581,-0.480013751088306,-0.19239989228979,0.278147108065404
"bivt",1e-04,50000,181,0.0320570678937734,-0.0355948321230439,-0.480260501153248,-0.192498795052075,0.278147108065404
"bivt",1e-04,50000,181,0.0641141357875468,-0.0390621528694766,-0.495629001606898,-0.198658822395529,0.278147108065404
"bivt",1e-04,50000,181,0.0961712036813202,-0.0431958248984241,-0.515564400910012,-0.206649361562328,0.278147108065404
"bivt",1e-04,50000,181,0.128228271575094,-0.047543500922929,-0.568376314930001,-0.227817518820378,0.278147108065404
"bivt",1e-04,50000,181,0.160285339468867,-0.0520269164050582,-0.618601460127907,-0.247948843192663,0.278147108065404
