"dist","p","n","sim_id","theta","true_bias","somrv_bias_est","in_sample_bias_est"
"bivt",0.005,1000,3,0.929654968919429,-0.754033441008183,-0.444098476631712,-0.271330027416378
"bivt",0.005,1000,3,0.961712036813202,-0.74475180639159,-0.685396519902779,-0.41875544799613
"bivt",0.005,1000,3,0.993769104706975,-0.732555195780997,-0.620043138461964,-0.378826613039115
"bivt",0.005,1000,3,1.02582617260075,-0.720910942622392,-0.57372741907354,-0.350529183363642
"bivt",0.005,1000,3,1.05788324049452,-0.708012008494333,-0.493326509965247,-0.301406788173023
"bivt",0.005,1000,3,1.0899403083883,-0.697394461423024,-0.351927964812231,-0.215016779758695
"bivt",0.005,1000,3,1.12199737628207,-0.683057295227394,-0.219972002049859,-0.134395888496866
"bivt",0.005,1000,3,1.15405444417584,-0.670836189934778,-0.192612006680102,-0.117679802573553
"bivt",0.005,1000,3,1.18611151206962,-0.6612714223311,-0.267580801002689,-0.163483348609559
"bivt",0.005,1000,3,1.21816857996339,-0.6496088146785,-0.318922850958324,-0.194851706203877
"bivt",0.005,1000,3,1.25022564785716,-0.640183293559325,-0.950286863437226,-0.580595012767118
"bivt",0.005,1000,3,1.28228271575094,-0.630380773145966,-1.19747424940823,-0.731618634197179
"bivt",0.005,1000,3,1.31433978364471,-0.622239738384413,-1.18173951341654,-0.722005211560844
"bivt",0.005,1000,3,1.34639685153848,-0.614278898861215,-1.12473122649704,-0.687174963616406
"bivt",0.005,1000,3,1.37845391943226,-0.60711192704808,-1.10031684262928,-0.6722585525212
"bivt",0.005,1000,3,1.41051098732603,-0.601317937306459,-1.09351522819802,-0.668102982693297
"bivt",0.005,1000,3,1.4425680552198,-0.596424843462687,-1.04100837682135,-0.636022968522486
"bivt",0.005,1000,3,1.47462512311358,-0.591601310895889,-0.994887712705713,-0.607844711407378
"bivt",0.005,1000,3,1.50668219100735,-0.587149290919809,-0.99190887569659,-0.606024736852445
"bivt",0.005,1000,3,1.53873925890112,-0.584532889969844,-0.910472113607558,-0.556269468476142
"bivt",0.005,1000,3,1.5707963267949,-0.581107838720077,-0.874751245308665,-0.534445155435516
"bivt",0.005,1000,4,0,-0.576681537737896,-0.160729942844744,-0.0982008768178311
"bivt",0.005,1000,4,0.0320570678937734,-0.57866112232144,-0.160812565735744,-0.0982513567732011
"bivt",0.005,1000,4,0.0641141357875468,-0.582388259019866,-0.161060859654627,-0.0984030564510046
"bivt",0.005,1000,4,0.0961712036813202,-0.587331333898525,-0.161476105690542,-0.0986567585559159
"bivt",0.005,1000,4,0.128228271575094,-0.592274891598946,-0.162060456956152,-0.0990137785712086
"bivt",0.005,1000,4,0.160285339468867,-0.598156613196884,-0.162816965978457,-0.099475981493677
"bivt",0.005,1000,4,0.19234240736264,-0.603756175650843,-0.16374962395283,-0.100045805816597
"bivt",0.005,1000,4,0.224399475256414,-0.610402108161023,-0.170378667192151,-0.104095940141559
"bivt",0.005,1000,4,0.256456543150187,-0.618155131857492,-0.223523633709741,-0.136565822343426
"bivt",0.005,1000,4,0.288513611043961,-0.627358068032659,-0.276017537903619,-0.168637926197836
"bivt",0.005,1000,4,0.320570678937734,-0.635131855093542,-0.326815442776113,-0.19967382847403
"bivt",0.005,1000,4,0.352627746831507,-0.64354109839526,-0.345606007936108,-0.211154265422835
"bivt",0.005,1000,4,0.384684814725281,-0.653495832530178,-0.383580650627187,-0.234355562848231
"bivt",0.005,1000,4,0.416741882619054,-0.664861518336403,-0.470006966154157,-0.287159289488519
"bivt",0.005,1000,4,0.448798950512828,-0.675306208300416,-0.574616564311823,-0.351072422790425
"bivt",0.005,1000,4,0.480856018406601,-0.687221313491534,-0.667166956513539,-0.407617765264799
"bivt",0.005,1000,4,0.512913086300374,-0.702583212673717,-0.779457314757932,-0.476223598394717
"bivt",0.005,1000,4,0.544970154194148,-0.716256049675327,-0.850247865099999,-0.519474370410002
"bivt",0.005,1000,4,0.577027222087921,-0.726997014802003,-0.942875632983862,-0.576066986962229
"bivt",0.005,1000,4,0.609084289981695,-0.736265120635194,-0.879956876410867,-0.537625630271622
"bivt",0.005,1000,4,0.641141357875468,-0.746582717309204,-0.795214407043334,-0.485850680014604
"bivt",0.005,1000,4,0.673198425769241,-0.755167448582029,-0.948561307030549,-0.579540752750999
"bivt",0.005,1000,4,0.705255493663015,-0.763751367351449,-1.14821100864832,-0.701520362824164
"bivt",0.005,1000,4,0.737312561556788,-0.76894687791438,-1.36926142038976,-0.836575125301867
"bivt",0.005,1000,4,0.769369629450562,-0.773519839188819,-1.46921342544583,-0.897642617534397
