"dist","p","n","alpha","is_covered","c_plus_raw","c_minus_raw","xi_hat"
"bivt",0.005,1000,"0.1",TRUE,0.00665300569021059,-0.00331099034234527,0.244093561077524
"bivt",0.005,1000,"0.01",TRUE,0.00998680585797922,-0.00420805614450827,0.244093561077524
"bivt",0.005,1000,"0.05",TRUE,0.00848869256012834,-0.00344928023352808,0.260627241071697
"bivt",0.005,1000,"0.1",FALSE,0.00708897015732958,-0.0030650431457628,0.260627241071697
"bivt",0.005,1000,"0.01",TRUE,0.0115596223770896,-0.00404262302521593,0.260627241071697
"bivt",0.005,1000,"0.05",TRUE,0.00596553377828419,-0.00336365136858173,0.347456298665371
"bivt",0.005,1000,"0.1",TRUE,0.00510066948664377,-0.00303626855400619,0.347456298665371
"bivt",0.005,1000,"0.01",TRUE,0.00736822465960856,-0.00397533582192069,0.347456298665371
"bivt",0.005,1000,"0.05",TRUE,0.00633694351695448,-0.00342265515858856,0.365515972556994
"bivt",0.005,1000,"0.1",TRUE,0.00542662530665799,-0.00308534326016651,0.365515972556994
"bivt",0.005,1000,"0.01",TRUE,0.00922961308961781,-0.00398193881757372,0.365515972556994
"bivt",0.005,1000,"0.05",TRUE,0.00789777517899539,-0.00368557613865218,0.262503144454272
"bivt",0.005,1000,"0.1",TRUE,0.00676913529887828,-0.00342185027887548,0.262503144454272
"bivt",0.005,1000,"0.01",TRUE,0.0107344994290565,-0.0042390843210467,0.262503144454272
"bivt",0.005,1000,"0.05",TRUE,0.00763347988204554,-0.00366095397733539,0.328182355094907
"bivt",0.005,1000,"0.1",TRUE,0.00662047629742471,-0.00333547370407422,0.328182355094907
"bivt",0.005,1000,"0.01",TRUE,0.00967035863635183,-0.00416017936197995,0.328182355094907
"bivt",0.005,1000,"0.05",TRUE,0.0068283915053795,-0.00357239394532729,0.329625991639726
"bivt",0.005,1000,"0.1",TRUE,0.00596442092896252,-0.00323145810285291,0.329625991639726
"bivt",0.005,1000,"0.01",TRUE,0.00854702621662226,-0.00411262208511316,0.329625991639726
"bivt",0.005,1000,"0.05",TRUE,0.00591731723159421,-0.00361057403617017,0.35660258862043
"bivt",0.005,1000,"0.1",TRUE,0.00520932984024652,-0.00317939179851757,0.35660258862043
"bivt",0.005,1000,"0.01",TRUE,0.00744753321550701,-0.00423340623511081,0.35660258862043
"bivt",0.005,1000,"0.05",TRUE,0.00814724897570045,-0.00394145256481452,0.263561892150782
"bivt",0.005,1000,"0.1",TRUE,0.00704645026929227,-0.00360712276865708,0.263561892150782
"bivt",0.005,1000,"0.01",TRUE,0.0100888908723007,-0.00437394596443237,0.263561892150782
"bivt",0.005,1000,"0.05",TRUE,0.00590716068633372,-0.00345247954288067,0.279113699040076
"bivt",0.005,1000,"0.1",TRUE,0.00518432489551489,-0.00307565532388585,0.279113699040076
"bivt",0.005,1000,"0.01",TRUE,0.00732688096510042,-0.00396869705350526,0.279113699040076
"bivt",0.005,1000,"0.05",TRUE,0.0063952186346442,-0.00380913170885662,0.435884514883375
"bivt",0.005,1000,"0.1",TRUE,0.0054727678039613,-0.00335637602932097,0.435884514883375
"bivt",0.005,1000,"0.01",TRUE,0.00778668648081194,-0.00441673402404408,0.435884514883375
"bivt",0.005,1000,"0.05",FALSE,0.00679058438031004,-0.00339156470883881,0.270974158728098
"bivt",0.005,1000,"0.1",FALSE,0.0057802372999987,-0.00305070048698596,0.270974158728098
"bivt",0.005,1000,"0.01",TRUE,0.00893279444283374,-0.00398500263159224,0.270974158728098
"bivt",0.005,1000,"0.05",TRUE,0.00761585249898411,-0.00377861808281879,0.227872668262628
"bivt",0.005,1000,"0.1",TRUE,0.0064780373485327,-0.00345925310935102,0.227872668262628
"bivt",0.005,1000,"0.01",TRUE,0.0102318422164374,-0.00430031876233711,0.227872668262628
"bivt",0.005,1000,"0.05",TRUE,0.00620561857620103,-0.003612666431373,0.311406187599164
"bivt",0.005,1000,"0.1",TRUE,0.0054725418168282,-0.00327321754585607,0.311406187599164
"bivt",0.005,1000,"0.01",TRUE,0.00779227490212519,-0.00414697809908151,0.311406187599164
